Symbol,Time,ESG,Governance,Environment,Social,Close
AMZN,1614553200,27.42,9.78,5.13,12.52,157.3070068359375
AMZN,1617228000,,,,,158.0500030517578
AMZN,1619820000,27.28,9.63,5.13,12.52
AMZN,1622498400,,,,,160.9324951171875
AMZN,1625090400,,,,,171.64849853515625
AMZN,1627768800,,,,
AMZN,1630447200,30.93,9.66,6.7,14.58,173.9499969482422
AMZN,1633039200,,,,,164.16299438476562
AMZN,1635721200,,,,,165.90550231933594
AMZN,1638313200,,,,,172.18600463867188
AMZN,1640991600,,,,
AMZN,1643670000,30.03,9.84,5.95,14.25,151.19349670410156
AMZN,1646089200,,,,,151.14199829101562
AMZN,1648764000,,,,,163.55999755859375
AMZN,1651356000,30.23,9.84,5.59,14.8
AMZN,1654034400,,,,,121.68399810791016
AMZN,1656626400,,,,,109.55999755859375
AMZN,1659304800,30.28,9.89,5.59,14.8
NKE,1504216800,67.09,65.88,69.43,65.81,53.36000061035156
NKE,1506808800,65.97,62.33,69.14,65.48
NKE,1509490800,65.97,62.33,69.14,65.48,55.06999969482422
NKE,1512082800,65.97,62.33,69.14,65.48,59.880001068115234
NKE,1514761200,65.97,62.33,69.14,65.48
NKE,1517439600,65.97,62.33,69.14,65.48,67.6500015258789
NKE,1519858800,65.97,62.33,69.14,65.48,66.31999969482422
NKE,1522533600,64.1,57.26,69.58,63.58
NKE,1525125600,64.1,57.26,69.58,63.58,68.0999984741211
NKE,1527804000,62.9,57.26,69.58,60.58,72.76000213623047
NKE,1530396000,62.9,57.26,69.58,60.58
NKE,1533074400,61.1,57.26,69.58,56.08,77.54000091552734
NKE,1535752800,61.1,57.26,69.58,56.08
NKE,1538344800,64.42,57.26,77.79,57.2,84.45999908447266
NKE,1541026800,64.53,57.71,77.79,57.2,76.79000091552734
NKE,1543618800,65.21,57.71,78.98,57.85
NKE,1546297200,65.21,57.71,78.98,57.85
NKE,1548975600,65.21,57.71,78.98,57.85,81.51000213623047
NKE,1551394800,65.49,58.82,78.98,57.85,87.16000366210938
NKE,1554069600,65.49,58.82,78.98,57.85,85.2300033569336
NKE,1556661600,65.49,58.82,78.98,57.85,85.9000015258789
NKE,1559340000,64.45,58.26,78.98,55.6
NKE,1561932000,63.88,58.26,77.35,55.6,85.41000366210938
NKE,1564610400,63.88,58.26,77.35,55.6,83.12000274658203
NKE,1567288800,63.88,58.26,77.35,55.6
NKE,1569880800,63.84,58.26,77.24,55.6,92.27999877929688
NKE,1572562800,64.45,60.48,77.24,55.73,89.18000030517578
NKE,1575154800,17.07,8.68,2.05,6.34
NKE,1577833200,17.07,8.68,2.05,6.34
NKE,1580511600,16.52,8.12,2.05,6.34
NKE,1583017200,16.52,8.12,2.05,6.34
NKE,1585692000,,,,,79.2300033569336
NKE,1588284000,,,,,85.54000091552734
NKE,1590962400,,,,,99.54000091552734
NKE,1593554400,16.78,7.77,2.05,6.96,97.4000015258789
NKE,1596232800,16.09,7.48,2.05,6.56
NKE,1598911200,,,,,114.83999633789062
NKE,1601503200,16.12,7.51,2.05,6.56,126.63999938964844
NKE,1604185200,,,,
NKE,1606777200,,,,,135.44000244140625
NKE,1609455600,14.8,6.95,2.29,5.56
NKE,1612134000,14.8,6.95,2.29,5.56,135.7100067138672
NKE,1614553200,14.8,6.95,2.29,5.56,137.64999389648438
NKE,1617228000,,,,,132.52999877929688
NKE,1619820000,15.34,7.28,2.29,5.77
NKE,1622498400,,,,,134.50999450683594
NKE,1625090400,,,,,158.0
NKE,1627768800,,,,
NKE,1630447200,15.38,7.28,2.48,5.61,164.55999755859375
NKE,1633039200,,,,,147.05999755859375
NKE,1635721200,,,,,166.3300018310547
NKE,1638313200,,,,,166.6999969482422
NKE,1640991600,,,,
NKE,1643670000,16.8,7.1,2.71,6.99,148.22000122070312
NKE,1646089200,,,,,132.22000122070312
NKE,1648764000,,,,,133.52000427246094
NKE,1651356000,16.8,7.1,2.71,6.99
NKE,1654034400,,,,,118.68000030517578
NKE,1656626400,,,,,101.18000030517578
NKE,1659304800,16.95,6.92,3.04,6.99
PFE,1504216800,64.71,64.34,70.69,61.64,32.220115661621094
PFE,1506808800,64.16,62.97,69.6,61.94
PFE,1509490800,64.16,62.97,69.6,61.94,33.45351028442383
PFE,1512082800,64.4,62.97,69.28,62.64,34.487667083740234
PFE,1514761200,64.4,62.97,69.28,62.64
PFE,1517439600,64.4,62.97,69.28,62.64,34.94307327270508
PFE,1519858800,64.4,62.97,69.28,62.64,33.8045539855957
PFE,1522533600,64.4,62.97,69.28,62.64
PFE,1525125600,64.4,62.97,69.28,62.64,33.58633804321289
PFE,1527804000,64.4,62.97,69.28,62.64,34.39278793334961
PFE,1530396000,64.4,62.97,69.28,62.64
PFE,1533074400,65.72,67.47,69.18,62.64,38.20683288574219
PFE,1535752800,65.72,67.47,69.18,62.64
PFE,1538344800,59.02,68.47,62.0,51.06,42.00189971923828
PFE,1541026800,59.1,68.74,62.0,51.06,41.43263626098633
PFE,1543618800,59.94,68.74,65.27,51.11
PFE,1546297200,59.94,68.74,65.27,51.11
PFE,1548975600,59.94,68.74,65.27,51.11,40.68311309814453
PFE,1551394800,59.94,68.74,65.27,51.11,41.138519287109375
PFE,1554069600,60.21,68.74,66.35,51.11,40.64516067504883
PFE,1556661600,61.02,68.74,69.61,51.11,38.68121337890625
PFE,1559340000,61.02,68.74,69.61,51.11
PFE,1561932000,61.02,68.74,69.61,51.11,41.52751541137695
